Index,Sinhala Comment
16,නලින්ද ඇමතිතුමණි මේ රට ගොඩගැනීමට හැකි එකම බලවේගය ජාතික ජනබලවේග ආණ්ඩුව පමණයි අපි ඔබතුමාගෙ අදහස් කතා විලාසය ඉවසීම ඉතා විශිෂ්ට යි
17,මෙම ආණ්ඩුව පටන් ගත්තා පමණයි වට්ටන්න ඕන මිනිස්සුනෙ මිනිස්සු ඉන්නෙ ආණ්ඩුවත් එක්ක
18,රොෂාන් ලුණු ගැනත් අහන්න
19,වටවල පඩයා
20,බොරු කයියවල් වැඩක් නෑ දොස්තර මහත්තයෝකටවල් වහගෙන වැඩකරන්නරට්ටු බලං ඉන්නවානැතිනම් ලොවෙත් නැතිවෙන්න කන්න වෙනවා
21,රොෂාන් පුරවැසියාගේ යුතුකමක් වන චන්දයවත් පාවිච්චි නොකරන ඔයා වැඩසටහනට ගැලපෙන්නේ නැහැනේද
22,නලීන් සහොදරයා
23,ඉවසීමෙන් ඉන්නමාලිමාට ජනතාව කැමතියි
24,වැඩක් කරන්න කාලයක් යන්න රොෂාන් ට කතාකරන්න කාලයක් යන්නෙ නැහැ
25,භොරූ දානිනෙ නැතුව උත්තර දෙකින් සදාචාරාත්මකව ඉඩ දෙන්න ඕනෙ
26,සේරම අඩුවෙන්ම නොයිල්ල ටිකක් හිටපල්ල ඒ මිනිස්සුන්ට වෙන්ට ඉඩ දීල විෂක්ෂය එහෙන් මෙහෙන් කකුලෙන් අදිනව පඩි වැඩිකරල කපල වැඩි කරල අඩු කරල අඩුකරව රට කරන්නට ඒ අයගෙ අම්ම අප්පගෙ බූදලය ගේන්ටද මේ වෙනකොට දුන් සහන ගැන ජනතාව හැටියට අපි සෑහීමට පත්ව ඇති බව සිතට ගන්ට රොෂාන්
27,දිනේ නිවැරැදි කරානම්
28,ඇමැතිතුමා රොෂාන්ට ගරු කරමින් කථා කරනවා කොතරම් නිහතමානීද එදා ඇමතිවරුන්ට ඔභොම කථාකලානම් ඉවරයි
29,රටට යහපතක් කරනවා ජනපති ඇත්තටම
30,නාකි මයිනා තාම විජේරාම නිවසින් අයින්කළේ නැති මුන් දැන් රට බයිලා ගහනවා කලින් කිව්වෙ කොහොමද මාසෙකට ජනතාවගේ බදු මුදල් ලක්ෂ ක් විජේරාම නිවස නඩත්තුවට යනවා වර්ග අඩි ක ප්රමාණයක් දෙන්නෙක්ට ෆුට්බෝල් ගහන්නදකොහොමද අනුරගෙයි මුගෙයි කයිවාරුව කෝ දැන් මයිනයි සිරිසේනයි චන්ද්රිකායි ඔය යස අගේට නඩත්තු කරන්නේ
31,දැන් අරවින්ද ඊලග නලින්ද
32,රොෂාන් එදා ඕනෑම හොරෙක් ඇමතියෙක් විදියට ආවම ඒ හොරතක්කඩියට ආමන්ත්රම්නය කලේ ගරුඇමති කියමින්නලින්ද ඇමතිතුමාට ආමන්ත්රනය කරණ්නෙ නලින්ද කියල මූවගේ නිවටයෙක් කටපුරා ඇමතිතුමා කියල ආමන්ත්රනය කලහැකි නිර්ව්යාජ මිනිසෙකුට පේනව නේද ආමන්ත්රනය කරණ විදිය
33,ගොතගහන්ඩතමාපුලුවන්දැන්කෙදිරිගානවාදැංලුනුටිකක්නැහැකයියවිතරයි
34,අනෙනලින්දතොපිමෙරටකාලතමයියන්නෙපවඅාන්ඩුව
35,රොෂාන්ට සහ අපරාධ කාරයින්ට තියන අවශ්යතාවය තමයි හදිසියේ කඩිමුඩියේ චූදිතයින්ට එරෙහිව නඩුපැවරීමපරීක්ෂන නිවැරදිව කරණ එක අවුල්කරණ්න හරි ඉක්මනක්නේ තියෙන්නෙඅපරාධ සිදුකල කාලය වසර ගනන වැඩි උනාට ඒකලෙ හිටපු මිනීමරු පාලකයො විනාශ කරපු සාක්ෂි යලි මුලසිට විමර්ශනය කරණ්න ඕන ඒව පිලිවෙලට වෙයි එතෙක් ඉවසීමෙන් ඉන්න රොෂාන්
36,රොෂාන් බබාඑයාට තේරෙන්නෙම රනිල්ගෙ එකම අනුර ගෙනියනව කියන එක විතරයි එකම දේ හෝද හෝද මඩේ දානව
37,ඒකාලෙ මුන් කියපුවා එකින් එකට දාල පෙන්න පෙන්න අහන්න ඕනෙය් එක නාලිකාවක මේ ගොං වස්සගෙන් වීඩියෝ එකක් දාල පෙන්නනව මේ ඔබේ ජනාදිපති තුමා වේදීකාවෙ මෙහෙම කිව්වනෙ කියල පිලිගන්නෙ නෑ එතකොට ඒ කියනකොට මේ ගොං මීමම ඒ පිටිපස්සෙ හිටගෙනත් ඉන්නවා ආ නලින්ද මේ ඔයා පිටිපස්සෙ හිටගෙනත් ඉන්නෙ කිඅල අහුවම ගූ ගිහින් හිටියෙ මුන්ගෙ බොරු මුන්ගෙ අර බොරුකියන ට්ග්රස්ත හදුන ඉන්නෙ ත්රස්ත කිව්වෙ නිකන් නෙමෙයු අර අමාරු අර්බුද වෙලාවෙ සල්ලි එවන්න එපා කියල පාලිමෙම්තුව වටකරන්න කියපු ට්ග්රස්තවාදියා ඉන්නෙ අන්න අන්න උන් ඒ කාලෙ ප්ලග් එක ගලවනවයි කිව්ව ආන්න ඒ ට්ග්රස්තවාදියා මේ වීඩියෝ තියාගෙන පස්සෙ අපෙන් ප්රශ්න කරන්න කියපු හින්ද මිනිස්ස්ය් වීඩියෝ තියාගෙන දැන් උන්ගෙන්ම අහනවා පෞ මුන් ඉස්සර ඕන ඕන දෙයක් කියල සති දෙකයි මතක කිව්වට දැන් සේව් කරල තියන් ඉන්නවා මතකයන් ආවර්ජනය කරගන්න
38,මේ අය හොරකම් කරන්නේ නෑ ඒ අය හොරකම් කලා එතනම තියෙනවානේ වෙනස මහත්තයෝ ඔය ජනමාධ්ය වෘත්තියට ඉහලම ගෞරවය දෙන්න ජනතාව සූදානම් එම වෘත්තිය වැරදි ලෙස යොදා නොගන්න තාක් දුරට
39,ඒක තමයි ඇත්ත ජනමාධ්යවේදීන්ගේ සංවරබව හා ඉවසීම වගේම අදාළ පුද්ගලයාට අදහස් ප්රකාශ කරන්නට ඉඩ නොදී තමන් විසින්ම තමාගේ මතය පමණක් විදහා දැක්වීම උදාහරණයක් වශයෙන් මේ අවස්ථාවේදී වගේ
40,අපට වැඩි පඩි ඕන ඒත් සමගම අපට මිල අඩුවටත් කෑම බීම ඕන ඇමති තුමාට බැරි නම් මේ මාධ්යකරුට රට බාර දෙන්න
41,මේ මාධ්ය මහත්තුරු දන්නේ නෑ මහා මැතිවරණයේදීත් ප්රාදේශීය මැතිවරණයේදීත් මහ ජනතාවගේ හැසිරීම් ඒ නිසා මේ මාධ්ය මහත්තයා කරුණාකරලා ජනාධිපතිවරණයත් ඇතුලුව පසු ගිය මැතිවරණ කීපයකදි චන්දය පාවිච්චි වීම පිලිබදව විශ්ලේෂණය කර ඉදිරිපත් කරනු මැනවි රනිල් ජනතාවගේ මුදල් එයාගෙ බිරිදගෙන් ලැබුණ දෑවැද්ද වගේ වියදම් කලානේ මේ මාධ්ය මහාත්තයා ඇයි මේ රනිල්ට සුදු හුණු ගාන්නේ
42,ඔයාලා ට බලයක් තියෙනවා කොන්ද පන ඇතුව වැඩ කරන්න
43,ඔයාලා පරණ දේවල් කීය කියා දැන් ඉන්න එපා ගන්වලට ගොහින් බලන්න මිනිස්සු බොහොම අමාරුවෙන් ජිවත් වෙන්නේ
44,නලින්ද ජයතිස්ස සහෝදරයා මොන යම් හේතුවකට වත් මේ ආණ්ඩුව වැටෙන්න දෙන්න නම් එපා මොකද මේ විදිහට ආණ්ඩු කරන වෙන පක්ෂයක් නෑ ආයෙමත් රට හදන්න කියලා මහජනතාව පෙල ගැහෙන්න සහ පෙල ගස්වන්න කිසිම පක්ෂයක් ලංකාවේ නෑ ඒ නිසා වැඩ කඩිනමින් කරගෙන රට ඉදිරියට රැගෙන යමු අපි ඉන්නවා ඔබලා සමග ජය ජය නියතයි
45,බලපංකෝ ඉදිරියට මොකද වෙන්නේ කියලා
46,රනිල් රට හදනකම් බලමු කියපු රොෂාන් මාස මොනවාද කරේ කියල අහනව
47,ඒ ජනතාව වෙනුවෙන්මයි
48,ඒක ඇත්ත රොෂාන් වගේ අය මෙවැනි තනතුරුවලට ගැලපෙන්නේ නැහැ එයා අනිත් කෙනාට අදහස් දක්වන්න ඉඩදෙන්නේ නැහැ එයාගේ හැසිරීම් රටාව ප්රශ්න ඉදිරිපත් කරන විලාසය මෙවැනි වැඩසටහන් බලන බොහෝ දෙනෙකුට වැටහෙනවා
49,හැමදාම මාලිමාවෙන් එනකෙනාගෙන් අහනව බඩුමිල අඩු කරන්නේ නැද්ද වගෙ පුශ්ණ අනික කතා කරන්න දෙන්නෙත් නෑ
50,හිටපු කාලකන්නි මයිනලා රනිල්ලා රටට කෙලවද්දි රොෂාන් නිදාගෙනද හිටියේ දැන් තියන කුලප්පුව ඒ කාලේත් තිබුනනම් නේද හොද එකට රට පටලවපු එවුන්ගේ රෙදි හොදන්නේ නැතුව හිටියොත් හොදයි රනිල් පකයගේ එකමලු
51,මේ අනුරකුමාර දිසානායකගේ මාලිමාව ආන්ඩුව මේ මෝඩ සිංහල මිනිස්සුන්ව කඩේ යනවා කියලා තවමත් තේරෙන්නේ නැති මෝඩ මිනිස්සු
52,මේ නිවේදකයා හොඳයි මැරිච්ච මිනිස්සු එක්ක සාකච්චා වකටජනතාවට වඩා මාද්ය වේදියා උගත් බුද්ධිමත් වෙන්න ඕනා රට බංකොලොත් වෙලා තිබ්බා කියන එක අමතක කරල මේකා කතා කරන එක වැරදි යිරටේ යමක් කරන නීතිය ක්පිලිවෙලක් තියෙනවා පුද්ගලික තේ ඉඩමක දලු කඩන්න මිනිස්සු ගන්න ව වගේ රක්ෂාවල් දෙන්න බැහැ මෙයා ප්රශ්න අහන විදියට ජනතාව කුලප්පු වෙන වාආන්ඩුව ට වැඩ කරන්න ඉඩ දීලා ජනතාව කූල් කරන්න ඕනා හරි නම් මේ ප්රශ්න අහන්නෙ මජර ජඩදෙශ්පාලුවො සතුටු කරන්න
53,මේගොල්ලන් ගිය ආණ්ඩු වල හිටපු පාතාලයේ පාලකයන්ගෙන් මේ විදියට ප්රෂ්න කලේ නැත්තේ දැනගෙන හිටියා සුදු වෑන්වලින් යන්න වෙනබවආණ්ඩුව පත්වෙලා මාස හයයි අවුරුදු ගානක් පරන අපරාධ වලට දඬුම් ෂනිකයෙන් ලබා දෙන්න බැරි බව ඕනේම මෝඩයෙකුට වැටහෙනවා
54,ජය වේවා
55,මේ මාධ්ය යවේදීයා ප්රතිගාමීන් වෙනුවෙන් හැමදාමත් පෙනී සිටි බව ප්රචලිත කරුනකි ඔහු මේ වැඩ සටහන තුල දීත් ප්රතිගාමී කඳවුර රැකීමට මහන්සි ගනී
56,අනීවාර්යෙන් ම
57,වටවල අමු
58,ඇ බං රොෂාන් උඹ නලින්ද නලින්ද කියන්නේ මීට කලින් හිටපු ඇමතිවරැන්ට නම කියලා කතා කරලා තියෙනවද ඔබේ ජනාධිපති කියන්නේ ඔයාට වෙන ජනාධිපති කෙනෙක් ඉන්නවද
59,දිගටම නියරවල් හද හද පෝරු ගගා හිටියොත් වෙලාවට වපුරගන්න බැරුව හීය මිස් වෙන්න ඉඩ තියනවා
60,වන අලි ගටලුවට තවමත් විසන්දුමක් නැහරිලා ප්ර්ශ්නය එහෙමමෛ
61,අලි එලවලා ගොඩාක් කල්
62,සිරස වැනි මාද්ය නොතිබෙන්න ඔය ප්රතිපලය තවත් වෙනස් වෙනව
63,කරන වැඩ ගැන ප්රචාරයක් නැහමෙහි වාසිය හොරු කන්ඩායම මැතිවරෙනිදි හොන්දටම ගත්තා
64,මන්ත්රීවරු ගමේ නැහැජනතා ගැටලු කියන්න කෙනෙක් නැහවිශාල පිරිසක් චන්දය දුන්නාඔවුන් විරෝදය පැව ආන්ඩුවට
65,නලින්ද
66,අස්වසුම දීමනව ගන්නා අයට ලන්කා බන්කුවෙන් නයක් දෙන්නෙ නැහැමිනිසුන් ආන්ඩුවට විරෝදය පානව
67,අස්වැසුම කකා ඉන්න ජාතියක් අපිට එපා
68,මෙ වටගල එක්ක මාදය සාකචිචා වලට එන්න එපා මු රනියා එකෙක්
69,ඔයාලා තනි පක්ෂයක් තුනෙන් දෙකේ බලයක් තියෙනවා මිනිස්සු ඔයාලට කන්නේ දුන්නු හොඳින් හෝ නරකින් මේ රට හදන්න ඔයාලට ලැබුණු චාන්ස් එක ආයේ කවදාවත් ලැබෙන්නේ නෑ බලය කියන එක දරමිටියට ගැට ගහන්න තියාගන්න එපා ඔයාලා හරියට බලොත් ඊළඟ පුරුදු පහක් හොයන්න තමයි
70,ඔබ ජනතාව ගේ පැත්තේ සිට ජනතාව ගේ ප්රශ්න ඉදිරි පත් කරන්න රට බන්කොලොත් කල හොරුත් ගේ ප්රශ්න ඉදිරි පත් කර්න්න එපා
71,පච ආන්ඩුව කියන්නේ ඔබ ඔබ නියෝජනය වෙන්නේ හොරු වසන් කරන්න
72,මූටත්රොශාන් වටවලසිරසෙ හිටපු කිංස්ලි යට වෙච්චදේම වේවා
73,ආණ්ඩුවේ දක්ෂකම තියෙන්නේ අත්දැකීම් නැති නිසා මොනවා කිව්වත් රට වැටෙන්නේ නැතිව ගෙනියන එක මොනවා කිව්වත් රට වැටුණේ එක එක්කෙනා කියපු දේවල් නිසා නොවෙයි කරපු දේවල් නිසා එනිසා වැරදි නොකර මොනවා කියලා තිබ්බත් කිව්වත් කලබල වෙන්න එපා අනික රොෂාන් කියන එක ඇත්ත ඇයි බොරු දින දෙන්නේ පොඩි පොඩි හරි බොරු කිව්වම ඒවා වගේ තැන්පත් වෙනවා
74,මූ එනවනම් රොෂාන් වටවලඅපි වැඩසටහන් බලන්නෙ නැහැ
75,ලසන්ත ඝාතන සියලු ඝාතන හොයනවාකියන්න කියන්න ඒකමයි අහන්නෙමරලා කොච්චර කල්දඒවායෙ තොරතුරු හොයලා හරියට කරන කන් බලන් ඉන්න බැරි එකෙක් වටවලයාඔකා ඒ කාලේ රිචඩ් වගේ හිටිය එකෙක් නෙවෙයිනෙඔන්න ඕකගෙ මූණ බලබල ඉන්න දුන්න නම් හරි
76,කොච්චර කිව්වත් නලින්ද මූට තේරෙන්නෙ නැහැමොකද මුගෙ දේශපාලනය රනිල් එක්කවලිගයක් අල්ල ගත්ත එකා හිතන්නෙ ඒක තමයි වීර ක්රියා වක් කියලාසිරසටත් පිස්සු මේ වගේ ගොබිලෙක් තියාගන්න එක ගැනමේ ඇවිල්ලා පොල්ගහට පුවක්ගහ කියන ටයි කෝට් ඇද්ගත්ත රනිල් වගේ පුස්සො
77,දක්ෂ උපදේශකයින් ගත යුතුයි නියමිත දීමනාවක් ගෙවලා ශ්රමය වැඩි කාර්යයන් නොමිලේ ලබා ගත හැකි වුවත් නිවැරිදි උපදේශනයක් එසේ ගත නොහැකිය තාවකාලික නොමිලේ ගත්තත් ඒවා විඳියට ගන්න බැහැ විශේෂයෙන් ම මෙම අත්දැකීම් අඩු නිසා සහ එකේ එවැනි උපදේශන දිය හැකි අය නැති නිසා දක්ෂ උපදේශකයින්ට සාධාරණ ගෙවීමක් කර සේවය ලබා යුතුය ඔවුන් ගෙන් අය මෙන් ලොකු කැපකිරීම් බලා පොරොත්තු විය නොහැක හොඳ උපදේශකයින් කිහිප දෙනෙක් සිටියානම් පසුගිය දවස් වල ඇතිවූ දෝෂාරෝපණ බොහොමයක් ඇති නොවීමට තිබුනා
78,මුන් මුලින් කිවේ හැම මනුස්සයෙකුටම වහනයක් ගන්න පුලුවන් කිවා දැන් අඩුගානේ බයික් එකක් ගන්න බැරිකලා මුන් පිනැන්ස් කාරොයො සතුටු කරනවා අහින්සක මිනිස්සු පව් අය මුන්ට දෙන්නැ චන්දේ ආයේ
79,බැරි නොව පුලුවන් දේ හොයලා කරමු
80,වන සතුන් ආහාර භෝග නිෂ්පාදනයේ යේ වැඩි ප්රමාණයක් නැති කෙරෙන අතර පොල් මිල ඉහළ යන වඵල තුරු ද කෝ මොකද කරපු දෙයක් නැහැ
81,මාධ්යවේදීන්ට අපි ඔබට ස්තූතිවන්ත වෙමු පාස්කු ඉරිදා ප්රහාර ගැන කතා කිරීමට ලැබීම ගැන අපි සතුටු වෙනවා ඒ දවසේ මගේ නංගි මාස තුනක් තිස්සේ බබෙක්ව කුසේ තියාගෙන හිටියා දෙවියන්ගේ කරුණාවෙන් ඇය සහ ඔවුන් සියලු දෙනාම බේරුණු අතර ඔවුන් සියලු දෙනාම රෝහලෙන් ආරක්ෂිතව නිවසට පැමිණියහ සියලු මහිමය දෙවියන් වහන්සේට වේවා එදින බොහෝ පවුල්වලට තම පවුල් සහ දරුවන් අහිමි විය අපේ ඇස්වලින් ඒක දැක්කම අපේ හදවත් බිඳිලා ගියා එවැනි අවස්ථාවලදී යුක්තිය ගැන කතා කරන මාධ්යවේදීන් වන ඔබ ගැන කතා කිරීමට අපි සතුටු වෙමු කෙසේ වෙතත් ආණ්ඩු යුක්තිය සොයමින් සිටිති සෑම කෙනෙකුටම යුක්තිය ඉටු වේ යැයි සියලු දෙනා විශ්වාස කරති සමහර අයට යුක්තිය ඉටු වුණත් ඔවුන්ගේ පවුල් මෙහි ජීවතුන් අතර නැහැ වත්මන් රජය ජනතාවට යුක්තිය ඉටු කරනු ඇතැයි ජනතාව බලාපොරොත්තු වෙති මාධ්ය බොහෝ දේ සඳහා යුක්තිය සොයනවා නමුත් යුක්තිය ඉටු වේදැයි ඔවුන් නොදනී අපි දෙවියන් වහන්සේ කෙරෙහි විශ්වාස කරමු මේ ලෝකයේ යුක්තිය ඉටු කළ හැක්කේ දෙවියන් වහන්සේට පමණි අපි මාධ්යයට සහ අමාත්යවරයාට ස්තූතිවන්ත වෙනවා අපේ හදවත් බිඳී යනු ඇත අපි බලාපොරොත්තු වෙනවා
82,මෙන්න ඇත්ත දේශපාලන තත්වය විග්රහ කර ගන්නබොරුවට රැවටෙන්න එපාදරුවන්ටත් දෙමව්පියන් හැටියට ඇත්ත කියලා දෙන්නවිපක්ෂය වගේ බොරු කරයො වෙන්න එපා
83,දුප්පත් මිනිහෙක් ත්රී වීල් එකක් මෝටර් බයිසිකලයක් ගන්නේ කොහොමද ජනාදිපතියෝ ඇමතියොනේ අපි උබලට චන්දය දුන්නේ බයිසිකලයක් ත්රී වීල් එකක් ගන්න බොලවු
84,රනිල් වික්රමසිංහ කියන තක්කඩිය දූෂිතය වංචනිකය තමයි මැතිවරණ නැත නින්දිත ලෙස නතර කර ප්රජාතන්ත්රවාදය ට පවා නිගරු කරපු හැටි අමතක කරන්න එපා එහි බරත් ජාතික ජන බලවේගයට දැරීමට සිදවිය
85,රට පාලනය කරපු යූඇන්පී ශ්රීලනිපය පොහොට්ටු සජබ හොරුන් දූෂිතයන් වංචනිකයින් මිනීමරුවන් තක්කඩීන් කොමිස් කාක්කන් විනාශ මුඛයට ඇද දාපු රට ගොඩ නැගීමට කාලය අවශ්යයි ඔය හැම දේකටම වසර හයකට කාලය අවශ්ය ව ඇත
86,රනිල් වික්රමසිංහ කියන පාහරය මිනීමරුවන් හොරා දූෂිතය වංචනිකය තමයි බටලන්ද කොමිසම ගෙන්වා ගැනීමට මූලික උනේඑතැනින් බටලන්දෙ වදකය ඇදගෙන නෑව
87,කයිය කයිය කයිය
88,පංච කෙලියේ ම සජිත් ප්රේමදාස සමග ඉන්න චෞරයන් වගේම චීවර වේශධාරීන් පිරිසක් උන් තමයි කිව්වෙ දළදා පෙරහැර නතර කරනවපන්සල්වලට දෙන දානය නතර කරනවකටින පිංකම නතර කරනවකියල පච කියපු සජිත් ප්රේමදාස ල මැතිවරණ තූනෙන්ම පරාජය වීඇත
89,රටේ උගත් බුද්ධිමත් දරුවන් හැට දාහක් ගාතනය කරපු මිනීමරු රණසිංහ ප්රේමදාස රනිල් වික්රමසිංහ රන්ජන් විජේරත්න ල රටට කරපු විනාශ මුඛයට ඇද දාපු ඉතිහාසය අමතක කරන්න එපා ඔය රනිල් වික්රමසිංහට උගත් බුද්ධිමත් දරුවන් දස දහස් ගණනක් වදයට ලක් කලේ හිටිලර් කෙනෙක් විදියටයි
90,රට පාලනය කරපු යූඇන්පී ශ්රීලනිපය පොහොට්ටු සජබ හොරුන් දූෂිතයන් වංචනිකයින් කරපු සියළුම හොරකම් දූෂණ වංචා නතර කර ඇත නව රජයේ කිසිදු මන්ත්රීවරුන් ඇමතිවරුන් නියෝජ්ය ඇමැති වරුන් හොරකම් කලා යැයි කාටවත් චෝදනා කළ නොහැක නමුත් රනිල් වික්රමසිංහ බලයට ආපු ගමන් ම මහා භාණ්ඩාගාරය ශුද්ධ කරපු හැටි අමතක කරන්න එපා
91,අගය කරනවා ඇමති තුමා වගේම මාධ්ය ඉතාමත් හොඳින් සංයමයකින් පිළිතුරු දීම ඉදිරිය සාර්ථක මෙහෙයුම් බව ස්ථිරයි නිරන්තර කථිකාවක් මහජනතාව වෙත ගෙන එන්න අවම කරගන්න රජයේ ප්රවෘත්ති දෙපාර්තමේන්තුව ඔබගේ දායකත්වය අමාත්යාංශ මට්ටමින් පවත්වන්නට කටයුතු යොදන්න
92,නලින්ද ගෙ ඉවසීම අගේ කරනවා මෙයාලා මොනව කීවත් අපි මාලිමාව ට
93,මාලිමාවට ජයවේවා
94,රොසාන් අනර්ගයි ඔබ
95,රෝශාන් නිවැරදිව සාකච්චාව කරගෙන ගියාමමත් මේ ආණ්ඩුව පිහිටුවීමට විදේශ රටක සිට පුළුවන් විදිහට සහය දැක්වුවාමාස ප්රථිපල ගැන සෑහිමකට පත්වන්න බෑ හැබැයි රෙදි කඩාගෙන ජවිපෙ ගොබිලයන්ට නම් මේව දරාගන්න බෑ
96,රනිල් හැමදේම මගහැරචන්දකල්මරමිමුදල්නෑකියමිහොරාකාපූරනිල්බැංකුහොරාකෑවනිකන්සොබනපෙන්නපුඅයරනිල්රාජපක්ෂ
97,මගේ අදහස නම් විපක්ෂය පලාත් පාලන ආයතන වල බලය ලබා ගන්නවානම් ඒකට ඉඩදීලා ප්රබල විපක්ෂයක් විදියට කිසිම වංචාවකට හොරකමකට ඉඩදෙන්නේ නැතුව රුපියල් පඩියෙන් විපක්ෂයට ජීවත්වෙන්න ඉඩ සලසන්න දෙන්න ඕනේ ටික දවසකින් එයාලාට එපා වෙලා පැත්තට වෙයි හොරකම් නැතිව මංත්රීකම කරන්න ප්රායෝගිකව ඉඩ දීලා ආයේ එයාලට ඔය මෝඩකම් නොකරන්න පාඩමක් ඉගනගන්න දෙන්න ඕනේ
98,සොයුර මොනවාද යකු නෙ අලුතින් එකතු වෙන්න දෙයක් නැහැ මුන් ඔක්කොම එකට නෙ හිටියෙ මහා මැතිවරණය ට කලින් කවුද අලුතින් එකතු වුනේ මෝඩ චූන්
99,අපේ විස්වාසය ආන්ඩුව කෙරෙහි එලෙසමයි නමුත් පාවෙන චන්ද අපි හරවාගන්න ලොකු කතා උන්ට කිවා උන් අද අපෙන් අහන්නේ මේ ආන්ඩුවත් හොරු නම් අල්ලන්නේ නැ මේයාලගෙත් යාලුවෝ ඒ දුසිත වලල්ලේ ඉන්නවා එවට උදාහරණ උන් විසින් අපිට පෙන්වා දෙනවා උදාහරණයක් ටිරාන් අලස් මේ ආන්ඩුවට සම්බන්ධ කෙනෙකු ගේ ආරක්සාව යටතේ ඉන්නේ කියලා සමහර විට ඒක ඇත්ත බව අපිත් හිතනවා සිදුවෙන සිදුවීම් එක්ක ඔන්න ඔකයි තත්වය
100,මේ රට වැටෙනවා කියලා බලන් ඉන්න උඹ කතා කරාට වැඩක්
101,මු හරියට රනි පබාවතී වගේ කැ වෙනත් ග්රහලෝකයක ඉඳලා ආවද
102,රොෂාන්ට ඒ කාලෙ තිබුනේ පොල් පිති කොන්දක් ඒක ගැලෙව්වේ මාලිමාව ඒ කාලෙ ප්රශ්න අහනකොට පු ටිංටිංගානවවචන පේ කරලා කතාකරන්න ඉගෙන ගන්න
103,මු ඒ කාලේ මේ වගේ කතා කලානම් මයිනලා රනිල්ලා මූව එල්ලලා
104,රනිලට නිතිය ක්රියාත්මක කරන්නේ නැත්තේ ඇයි
105,රොෂාන් කියන්නේ පොල් බූවා
106,ආසම කතිකයෙක් රොශාන්
107,රොෂාන් අනේද කියන්නෙ
